หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,8/5 หมู่ที่ 14 ตำบลท่าช้าง อำเภอบางกล่ำ สงขลา,90110,0-7480-0111,0-7480-1286,www.ss.co.th
3K-BAT,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,387 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2709-3535,0-2393-2509 / 0-2709-4965,-
7UP,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,73 อาคารมหาชล ซอยสุขุมวิท 62 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,10260,0-2741-5700,0-2741-5724,www.sevenup.co.th
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กทม.,10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),mai,บริการ,-,เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น ที่ 19 ยูนิต 1901 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,10900,0-2026-3512,0-2026-3513,www.assetfive.co.th
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม.,10210,0-2562-5700,0-2562-5705,http://www.aavplc.com
ABICO,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,401/1หมู่ที่ 8 อาคารเอบิโก้ ชั้น 5 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,12130,0-2080-7899,0-2080-7805,www.abicogroup.com
ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,ทรัพยากร,-,273/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,10150,0-2415-0054,0-2415-1102,www.asiabiomass.com
ABPIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้า อมตะ บี.กริม เพาเวอร์,SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 400/22 อาคารธนาคารกสิกรไทย ชั้น 6 และ 12 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,10400,0-2673-3999,0-2673-3988,http://www.kasikornasset.com
ACAP,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 24 ห้องเลขที่ 2401-2405 ถนน วิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,10900,0-2793-3888,0-2793-3944,www.acap.co.th
ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,944 อาคารมิตรทาวน์ ออฟฟิศ ทาวน์เวอร์ ชั้น 16 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม.,10330,0-2219-1642,0-2219-1662,http://acc-plc.com
ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 140/6 อาคารไอทีเอฟ ทาวเวอร์ ชั้น 7 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กทม.,10500,0-2233-2559,-,http://www.ace-energy.co.th
ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,เลขที่ 1111 หมู่ 1 ถนนมะลิวัลย์ ตำบลบ้านทุ่ม อำเภอเมือง ขอนแก่น,40000,0-4330-6444,0-4330-6448,www.autocorpgroup.com
ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,252 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th
ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,บริการ,-,99/9 ชั้นที่ 12 ห้อง 1204-5 หมู่ที่ 2 ถนนแจ้งวัฒนะ ตำบลบางตลาด อำเภอปากเกร็ด นนทบุรี,11120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com
ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,"อาคารเอไอเอส ทาวเวอร์ 1, 414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th
AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเอ็กเชน ทาวเวอร์ ชั้น 27, 388 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม.",10110,"0-2665-0123, 0-2689-7197",0-2689-7007,www.aeon.co.th
AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 17 ถนนพญาไท เขตปทุมวัน กทม.,10330,0-2657-6222,"0-2657-6244, 0-2657-6245",http://www.airafactoring.co.th
AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,"อาคารวอลล์สตรีททาวเวอร์ ชั้น 27, 33/133-136 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม.",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com
AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,273/1 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.agecoal.com
AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,99 หมู่ 1 นิคมอุตสาหกรรมไฮเทค ตำบลบ้านเลน อำเภอบางปะอิน พระนครศรีอยุธยา,13160,0-3535-0880,0-3535-0881,www.aapico.com
AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),SET,บริการ,การแพทย์,68/3 หมู่ 2 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง ชลบุรี,20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com
AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,254 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กทม.,10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com
AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),mai,ทรัพยากร,-,เลขที่ 55/2 หมู่ที่ 8 ถนนเศรษฐกิจ 1 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน สมุทรสาคร,74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th
AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 62 อาคารมิลเลนเนียทาวเวอร์ ชั้น 16 ห้อง 1601 ซอยหลังสวน แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2254-0441-2,0-2254-0443,www.aimcgreit.com
AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,62 อาคารมิลเลนเนีย ทาวเวอร์ ชั้น 16 ห้อง 1601 ซอยหลังสวน แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2254-0441-2,0-2254-0443,www.aimreit.com
AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,319 อาคารจัตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท ปทุมวัน กทม.,10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th
AIT,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,37/2 ถนนสุทธิสาร แขวงสามเสนนอก เขตห้วยขวาง กทม.,10320,0-2275-9400,"0-2275-9100, 0-2275-9200",www.ait.co.th
AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,95 ถนนท่าข้าม แขวงแสมดำ เขตบางขุนเทียน กทม.,10150,"0-2415-0035, 0-2415-6059",0-2415-6068,www.ajplast.co.th
AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,เลขที่ 427/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม.,10150,0-2451-6888,0-2451-5490,www.ajthai.com
AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),mai,บริการ,-,792 หมู่ 2 ซอย 1 ซี/1 นิคมอุตสาหกรรมบางปู ซอย 1 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10280,0-2323-0714-21,0-2323-0724,www.akkhie.com
AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารยู เอ็ม ทาวเวอร์ ชั้น 28, 9/291 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กทม.",10250,0-2719-8777,02-719-8760-2,http://www.ekarat.co.th
ALL,บริษัท ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,4345 อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้น 18 ถนนสุขุมวิท แขวงบางนา เขตบางนา กทม.,10260,0-2029-9988,-,www.allinspire.co.th
ALLA,บริษัท ออลล่า จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"เลขที่ 933, 935, 937, 939 ซอยอ่อนนุช 46 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กทม.",10250,"0-2322-0777, 0-2721-5699",0-2322-1891-2,www.alla.co.th
ALLY,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,888 ถ. ประดิษฐมนูธรรม แขวงคลองจั่น เขตบางกะปิ กทม.,10240,0-2101-5999,-,www.allyreit.com
ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,52/1 หมู่ที่ 5 ถนนบางกรวย - ไทรน้อย ตำบลบางสีทอง อำเภอบางกรวย นนทบุรี,11130,0-2863-8999,0-2886-3364,www.alt.co.th
ALUCON,บริษัท อลูคอน จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,500 หมู่ 1 ซอยศิริคาม ถนนสุขุมวิท 72 ตำบลสำโรงเหนือ อำเภอเมือง สมุทรปราการ,10270,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",www.alucon.th.com
AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),mai,บริการ,-,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 33 ทาวเวอร์ เอ ห้องเลขที่ TNA02 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม.,10310,0-2001-2801,0-2001-2800,www.amamarine.co.th
AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,16-16/1 ซอยเกษมสันต์ 1 ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กทม.,10330,0-2091-6456,0-2030-6401,http://www.amanah.co.th
AMARIN,บริษัท อมรินทร์พริ้นติ้ง แอนด์ พับลิชชิ่ง จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,เลขที่ 378 ถนนชัยพฤกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กทม.,10170,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com
AMATA,บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารกรมดิษฐ์ 2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,10320,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com
AMATAR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอมตะซัมมิทโกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2126 อาคารกรมดิษฐ์ ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,10320,0-2792-0089,0-2792-0090,www.amatareit.com
AMATAV,บริษัท อมตะ วีเอ็น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,10310,0-2792-0000,0-2318-1096,http://www.amatavn.com
AMC,บริษัท เอเซีย เมทัล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"55, 55/1 หมู่ที่ 2 ซอยวัดหนามแดง ถนนศรีนครินทร์ ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ",10540,0-2383-4100,0-2383-4101-2,www.asiametal.co.th
AMR,บริษัท เอเอ็มอาร์ เอเซีย จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 469 ซอยประวิทย์และเพื่อน ถนนประชาชื่น แขวงลาดยาว เขตจตุจักร กทม.,10900,0-2589-9955,-,-
ANAN,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 99/1 หมู่ที่ 14 ซอยหมู่บ้านวินด์มิลล์ ถนนบางนา-ตราด (ก.ม.10.5) ตำบลบางพลีใหญ่ อำเภอบางพลี สมุทรปราการ,10540,0-2317-1155,0-2317-1100,http://www.ananda.co.th
AOT,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,333 หมู่ที่ 7 ถนนเชิดวุฒากาศ แขวงสีกัน เขตดอนเมือง กทม.,10210,0-2535-1111,"0-2531-5559, 0-2535-4061",www.airportthai.co.th
AP,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 18, 170/57 ถนนรัชดาภิเษกตัดใหม่ แขวงคลองเตย เขตคลองเตย กทม.",10110,"0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,www.apthai.com
APCO,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,เลขที่ 84/3 หมู่ 4 นิคมอุตสาหกรรมภาคเหนือ (ฝั่งตะวันตก) ถนนทางหลวงหมายเลข 11 ตำบลบ้านกลาง อำเภอเมือง ลำพูน,51000,0-5358-1374,0-5358-1375,http://www.apco.co.th
APCS,บริษัท เอเซีย พรีซิชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,นิคมอุตสาหกรรมอมตะนคร เลขที่ 700/331 หมู่ที่ 6 ตำบลดอนหัวฬ่อ อำเภอเมือง ชลบุรี,20000,0-3846-8300,0-3845-8751,http://www.asiaprecision.com
APEX,บริษัท เอเพ็กซ์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,900 อาคาร ต้นสน ทาวเวอร์ ชั้น 18 โซน เอ ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.,10330,"08-1483-2400, 08-1665-2400",-,www.apexpcl.com
APP,บริษัท แอพพลิแคด จำกัด (มหาชน),mai,เทคโนโลยี,-,69 ซอยสุขุมวิท 68 ถนนสุขุมวิท แขวงบางนาเหนือ เขตบางนา กทม.,10260,0-2744-9045,0-2744-9049,www.applicadthai.com
APURE,บริษัท อกริเพียว โฮลดิ้งส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,อาคารมูลนิธิรวมใจพัฒนา เลขที่ 70 หมู่ที่ 6 ถนนพหลโยธิน ตำบลคลองหนึ่ง อำเภอคลองหลวง ปทุมธานี,12120,0-2516-0941-45,0-2516-0946,http://www.apureholdings.com
AQ,บริษัท เอคิว เอสเตท จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 102 ถนนริมคลองบางกะปิ แขวงบางกะปิ เขตห้วยขวาง กทม.,10310,0-2033-5555,0-2033-5566,www.aqestate.com
AQUA,บริษัท อควา คอร์เปอเรชั่น จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,"อาคารอาร์เอสทาวเวอร์ ชั้น 21, 121/68-69 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กทม.",10400,0-2694-8888,"0-2694-8880, 0-2694-8889",www.aquacorp.co.th
ARIN,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 49/82 ถนนบางแสนสาย 4 เหนือ ตำบลแสนสุข อำเภอเมืองชลบุรี ชลบุรี,20130,0-3819-1581,0-3819-1681,www.arinsiri.com
ARIP,บริษัท เออาร์ไอพี จำกัด (มหาชน),mai,บริการ,-,99/16-20 ถนนรัชดาภิเษก เขตดินแดง กทม.,10320,0-2642-3400,0-2642-3440,http://www.aripplc.com
ARROW,บริษัท แอร์โรว์ ซินดิเคท จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 31 หมู่ 1 ตำบลพานทอง อำเภอพานทอง ชลบุรี,20160,0-3874-0371-4,0-3874-0150,www.arrowpipe.com
AS,บริษัท เอเชียซอฟท์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,เลขที่ 9 อาคารยู.เอ็ม.ทาวเวอร์ ห้องเลขที่ 9 / 283 - 5 ชั้น 28 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2769-8888,0-2717-4251,http://as-th.listedcompany.com
ASAP,บริษัท ซินเนอร์เจติค ออโต้ เพอร์ฟอร์มานซ์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,149 หมู่ที่ 3 ถนนเทพารักษ์ ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10270,0-2091-8181,0-2091-8111,http://www.asapcarrent.com
ASEFA,บริษัท อาซีฟา จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 5 หมู่ที่ 1 ถนนพระราม 2 ตำบลคอกกระบือ อำเภอเมืองสมุทรสาคร สมุทรสาคร,74000,0-2686-7777,0-2686-7788,www.asefa.co.th
ASIA,บริษัท เอเชียโฮเต็ล จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,296 ถนนพญาไท แขวงถนนเพชรบุรี เขตราชเทวี กทม.,10400,0-2217-0808,0-2215-2645,www.asiahotel.co.th
ASIAN,บริษัท เอเชี่ยนซี คอร์ปอเรชั่น จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,55/2 หมู่ 2 ถนนพระราม 2 ตำบลบางกระเจ้า อำเภอเมือง สมุทรสาคร,74000,"0-3482-2204-7, 0-3482-2700-6","0-3482-2407, 0-3482-2698-9, 0-3482-2706",www.asianseafoods.co.th
ASIMAR,บริษัท เอเชียน มารีน เซอร์วิสส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,128 หมู่ 3 ถนนสุขสวัสดิ์ ตำบลแหลมฟ้าผ่า อำเภอพระสมุทรเจดีย์ สมุทรปราการ,10290,0-2815-2060-67,0-2453-7213-4,www.asimar.com
ASK,บริษัท เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารสาธรซิตี้ทาวเวอร์ ชั้น 24, 175 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.",10120,"0-2679-6226, 0-2679-6262",0-2679-6241-3,www.ask.co.th
ASN,บริษัท เอเอสเอ็น โบรกเกอร์ จำกัด (มหาชน),mai,ธุรกิจการเงิน,-,388 อาคารไอบีเอ็ม ชั้น 16 บี ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,10400,0-2494-8388,0-2619-2296,http://www.asnbroker.co.th
ASP,บริษัท เอเซีย พลัส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารสาธรซิตี้ทาวเวอร์ ชั้น 3,9 และ11, 175 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาธร กทม.",10120,"0-2285-1888, 0-2680-1111",0-2285-1901-2,www.asiaplusgroup.co.th
ASW,บริษัท แอสเซทไวส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 9 ซอยรามอินทรา 5 แยก 23 แขวงอนุสาวรีย์ เขตบางเขน กทม.,10220,0-2521-9533-35,-,www.assetwise.co.th
ATP30,บริษัท เอทีพี 30 จำกัด (มหาชน),mai,บริการ,-,เลขที่ 9/30 หมู่ที่ 9 ตำบลบางนาง อำเภอพานทอง ชลบุรี,20160,0-3846-8788,0-3846-8788,http://www.atp30.com
AU,บริษัท อาฟเตอร์ ยู จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,1319/9 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2318-4488,0-2318-1022,www.afteryoudessertcafe.com
AUCT,บริษัท สหการประมูล จำกัด (มหาชน),mai,บริการ,-,518/28 ซ.รามคำแหง 39 (เทพลีลา 1) แขวงวังทองหลาง เขตวังทองหลาง กทม.,10310,0-2934-7344-8,0-2935-6202,www.auct.co.th
AWC,บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้นที่ 54 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม.,10120,0-2180-9999,0-2180-9966,https://www.assetworldcorp-th.com
AYUD,บริษัท อลิอันซ์ อยุธยา แคปปิตอล จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,"อาคารเพลินจิตทาวเวอร์ ชั้น 7, 898 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",10330,0-2657-2970,0-2657-2971,www.ayud.co.th
B,บริษัท บี จิสติกส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 3656/64 อาคารกรีนทาวเวอร์ ชั้น 19 ยูนิต K ถนนพระราม 4 แขวงคลองตัน เขตคลองเตย กทม.,10110,0-2367-3570-6,0-2367-3577,WWW.BEGISTICS.CO.TH
B52,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),SET,บริการ,พาณิชย์,"973 อาคารเพรสิเด้นท์ ทาวเวอร์ ห้อง 7B, 7C, 7D, 7I ชั้น 7 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",10330,0-2656-0189,0-2656-0189 ต่อ 123,www.b52.co.th
BA,บริษัท การบินกรุงเทพ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,เลขที่ 99 หมู่ที่ 14 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,10900,0-2265-5678,0-2265-5500,http://www.bangkokair.com
BAFS,บริษัท บริการเชื้อเพลิงการบินกรุงเทพ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,171/2 ถนนกำแพงเพชร 6 แขวงดอนเมือง เขตดอนเมือง กทม.,10210,0-2834-8900,0-2834-8999,www.bafsthai.com
BAM,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,99 ถนนสุรศักดิ์ แขวงสีลม เขตบางรัก กทม.,10500,0-2267-1900,0-2266-3377,www.bam.co.th
BANPU,บริษัท บ้านปู จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารธนภูมิ ชั้น 27, 1550 ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กทม.",10400,0-2694-6600,0-2207-0696,http://www.banpu.com
BAY,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,1222 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กทม.,10120,"0-2296-2000, 0-2683-1000",0-2683-1304,www.krungsri.com
