หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
ERWPF,กองทุนรวมอสังหาริมทรัพย์เอราวัณ โฮเทล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2949-1500,0-2949-1501,www.scbam.com
ESSO,บริษัท เอสโซ่ (ประเทศไทย) จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 3195/17-29 ถนนพระรามที่ 4 แขวงคลองตัน เขตคลองเตย กทม.,10110,0-2262-4000,0-2262-4800,http://www.esso.co.th
ESTAR,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารเพลินจิตทาวเวอร์ ชั้น 5, 898 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.",10330,0-2263-1010,0-2263-1009,www.estarpcl.com
ETC,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"88, 88/1 หมู่ที่ 1 ตำบลบ้านธาตุ อำเภอแก่งคอย สระบุรี",18110,0-3620-0294,0-3620-0295,http://www.etcenvi.com
ETE,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,บริการ,-,59/21-22 หมู่ที่ 1 ถนนเลี่ยงเมือง ตำบลบางกุ้ง อำเภอเมืองสุราษฏร์ธานี สุราษฎร์ธานี,84000,0-7729-5316-8,0-7729-5320,www.eastern-groups.com
EVER,บริษัท เอเวอร์แลนด์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 223/96 อาคาร คันทรี่ ทาวเวอร์ ชั้น 21 ถนนสรรพาวุธ แขวงบางนา เขตบางนา กทม.,10260,0-2361-6156-60,0-2720-7598-9,www.everland.co.th
F&D,บริษัท ฟู้ดแอนด์ดริ๊งส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 183 อาคารรีเจ้นท์ เฮ้าส์ ชั้นที่ 15 ถนนราชดำริ แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2253-5232-33,-,www.foodanddrinks.co.th
FANCY,บริษัท แฟนซีวู๊ด อินดัสตรีส จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,บมจ.แฟนซีวู๊ดอินดัสตรีส สาขา 2 เลขที่ 22 ซอยประดิษฐ์มนูธรรม 23 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กทม.,10230,"0-2578-2823 , 0-2578-2824",0-2578-2522,http://www.fancywood.th.com
FE,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,465/1-467 ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กทม.,10400,0-2354-3333,0-2644-9550-2,www.fareastfamelineddb.com
FLOYD,บริษัท ฟลอยด์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,เลขที่ 31/4 หมู่ที่ 2 ซอยวัดส้มเกลี้ยง ถนนกาญจนาภิเษก ตำบลบางแม่นาง อำเภอบางใหญ่ นนทบุรี,11140,"0-2191-6258, 0-2191-6260",0-2191-6262,www.floyd.co.th
